date	open	high	low	close	adjClose	volume	unadjustedVolume	change	changePercent	vwap	label	changeOverTime
2019-03-21	43.83	46.25	43.78	45.99	45.67	82431068	82431068	2.15	4.93	44.9625	March 21, 19	0.0493
2019-03-22	45.71	46.2	44.24	44.38	44.07	74764348	74764348	-1.34	-2.91	45.1325	March 22, 19	-0.0291
2019-03-25	43.97	44.61	42.78	43.45	43.15	52521204	52521204	-0.52	-1.18	43.7025	March 25, 19	-0.0118
2019-03-26	44.87	45.44	43.65	44.22	43.92	70350712	70350712	-0.65475	-1.45	44.545	March 26, 19	-0.0145
2019-03-27	44.48	44.94	43.43	44.13	43.83	47437176	47437176	-0.35	-0.78687	44.245	March 27, 19	-0.0078687
2019-03-28	44.39	44.98	43.78	44.31	44.01	48026408	48026408	-0.075	-0.18022	44.365	March 28, 19	-0.0018022
2019-03-29	44.99	45.14	44.48	44.89	44.59	45689516	45689516	-0.095	-0.22227	44.875	March 29, 19	-0.0022227
2019-04-01	45.82	45.88	45.09	45.57	45.26	48382448	48382448	-0.245	-0.54561	45.59	April 01, 19	-0.0054561
2019-04-02	45.81	46.2	45.38	45.75	45.44	44091984	44091984	-0.0625	-0.13098	45.785	April 02, 19	-0.0013098
2019-04-03	46.25	47.75	46.2	47.16	46.83	78877872	78877872	0.905	1.97	46.84	April 03, 19	0.0197
2019-04-04	47.0	47.49	46.43	47.07	46.75	45737676	45737676	0.065	0.14894	46.9975	April 04, 19	0.0014894
2019-04-05	47.5	47.91	47.13	47.74	47.41	48174596	48174596	0.2375	0.50526	47.57	April 05, 19	0.0050526
2019-04-08	47.43	48.2	47.19	47.95	47.62	42419392	42419392	0.5175	1.1	47.6925	April 08, 19	0.011
2019-04-09	47.61	47.72	46.89	47.32	46.99	43997280	43997280	-0.295	-0.60912	47.385	April 09, 19	-0.0060912
2019-04-10	47.31	48.29	47.26	48.03	47.7	44477228	44477228	0.7175	1.52	47.7225	April 10, 19	0.0152
2019-04-11	48.05	48.37	47.39	47.89	47.56	37460148	37460148	-0.165	-0.33299	47.925	April 11, 19	-0.0033299
2019-04-12	48.28	48.32	47.42	47.5	47.18	47170656	47170656	-0.7725	-1.62	47.88	April 12, 19	-0.0162
2019-04-15	47.43	47.48	45.78	46.18	45.86	44009380	44009380	-1.25	-2.64	46.7175	April 15, 19	-0.0264
2019-04-16	46.57	47.24	46.24	47.05	46.73	39496364	39496364	0.4825	1.03	46.775	April 16, 19	0.0103
2019-04-17	47.41	47.62	46.6	46.82	46.5	35100272	35100272	-0.5825	-1.24	47.1125	April 17, 19	-0.0124
2019-04-18	46.89	47.23	46.3	46.58	46.26	38098816	38098816	-0.315	-0.66112	46.75	April 18, 19	-0.0066112
2019-04-22	46.34	47.28	46.02	47.12	46.8	27993552	27993552	0.78	1.68	46.69	April 22, 19	0.0168
2019-04-23	47.25	47.98	47.15	47.67	47.34	34685524	34685524	0.4175	0.88889	47.5125	April 23, 19	0.0088889
2019-04-24	47.77	48.2	47.16	47.79	47.47	31820480	31820480	0.02	0.04186728	47.73	April 24, 19	0.0004186728
2019-04-25	47.39	47.61	45.93	46.73	46.41	49929748	49929748	-0.66	-1.39	46.915	April 25, 19	-0.0139
2019-04-26	45.18	45.22	43.33	44.52	44.22	86898916	86898916	-0.655	-1.46	44.5625	April 26, 19	-0.0146
2019-04-29	44.6	45.11	43.88	44.83	44.53	39191932	39191932	0.23	0.5157	44.605	April 29, 19	0.005157
2019-04-30	44.51	45.51	44.32	45.25	44.94	36292160	36292160	0.7425	1.66	44.8975	April 30, 19	0.0166
2019-05-01	45.78	46.2	45.12	45.12	44.81	35428124	35428124	-0.66	-1.44	45.555	May 01, 19	-0.0144
2019-05-02	45.22	46.22	44.78	45.8	45.49	39468540	39468540	0.5825	1.28	45.505	May 02, 19	0.0128
2019-05-03	45.88	45.98	45.13	45.75	45.44	33682348	33682348	-0.13	-0.28335	45.685	May 03, 19	-0.0028335
2019-05-06	43.88	45.09	43.5	44.96	44.66	42217780	42217780	1.09	2.46	44.3575	May 06, 19	0.0246
2019-05-07	44.48	44.48	42.79	43.28	42.98	55521832	55521832	-1.2	-2.7	43.7575	May 07, 19	-0.027
2019-05-08	43.0	44.29	42.88	43.48	43.18	41916616	41916616	0.48	1.12	43.4125	May 08, 19	0.0112
2019-05-09	42.79	42.88	41.35	42.55	42.26	66024656	66024656	-0.2375	-0.56088	42.3925	May 09, 19	-0.0056088
2019-05-10	42.24	42.9	41.0	42.21	41.92	56949804	56949804	-0.0325	-0.07102273	42.0875	May 10, 19	-0.0007102273
2019-05-13	40.88	41.11	39.45	39.61	39.34	65691276	65691276	-1.26	-3.11	40.2625	May 13, 19	-0.0311
2019-05-14	40.01	40.87	39.62	40.51	40.23	52487888	52487888	0.4975	1.25	40.2525	May 14, 19	0.0125
2019-05-15	39.95	40.26	39.35	39.9	39.62	50232004	50232004	-0.055	-0.12516	39.865	May 15, 19	-0.0012516
2019-05-16	39.84	40.48	39.41	40.05	39.78	78108816	78108816	0.2075	0.52711	39.945	May 16, 19	0.0052711
2019-05-17	39.63	40.93	38.74	39.13	38.87	102206792	102206792	-0.4925	-1.26	39.6075	May 17, 19	-0.0126
2019-05-20	38.14	38.69	37.69	37.94	37.68	57206536	57206536	-0.2	-0.52438	38.115	May 20, 19	-0.0052438
2019-05-21	38.55	38.92	38.16	38.77	38.5	36184988	36184988	0.215	0.57069	38.6	May 21, 19	0.0057069
2019-05-22	38.38	38.64	37.94	38.05	37.79	32586960	32586960	-0.325	-0.85982	38.2525	May 22, 19	-0.0085982
2019-05-23	37.42	37.42	36.23	36.83	36.58	59184436	59184436	-0.5925	-1.58	36.975	May 23, 19	-0.0158
